reg_no,name,grade,score,entries,racing_now,starts,dq,form_emoji,form_avg,retired
014555,水木 裕聡,A3,68.66,静岡@08/30-09/01;大垣@09/13-09/15;別府@09/24-09/26,,9,0,,4.4,
014556,小川 祐司,A2,87.69,玉野@09/08-09/10;青森@09/21-09/23,,10,0,,4.2,
014559,田山 誠,A3,68.33,伊東@08/27-08/29;久留米@09/05-09/07;松山@09/12-09/14,,12,0,,5.0,
014561,高橋 義秋,A1,89.25,小松島@08/27-08/29;富山@09/03-09/05;いわき平@09/15-09/17;玉野@09/27-09/29,,12,0,,3.8,
014563,興呂木 雄治,A2,78.28,富山@09/03-09/05;佐世保@09/20-09/22,,14,0,🥺,6.0,
014565,中村 健志,A1,93.80,防府@09/04-09/06;高知@09/20-09/22,,15,0,,2.4,
014566,安谷屋 将志,A2,82.50,防府@09/04-09/06;久留米@09/17-09/19,高知,12,0,,4.0,
014567,仲松 勝太,A2,84.00,小松島@08/27-08/29;玉野@09/08-09/10;久留米@09/17-09/19;熊本@09/24-09/26,,9,0,🥺,5.6,
014570,松澤 敬輔,A1,94.50,小松島@08/27-08/29;富山@09/03-09/05;川崎@09/10-09/12,,12,0,,2.2,
014572,赤塚 悠人,A1,82.26,松戸@09/01-09/03;豊橋@09/11-09/13,,15,0,,4.0,
014575,鈴木 達也,A2,84.44,西武園@08/31-09/02;別府@09/16-09/18,,18,0,,4.8,
014578,大越 啓介,A3,75.50,伊東@08/27-08/29;西武園@09/06-09/08;大宮@09/21-09/23,,18,0,,3.0,
014579,齋藤 一茂,A2,84.75,奈良@08/26-08/28;弥彦@09/07-09/09;青森@09/26-09/28,,12,0,,3.8,
014581,佐山 俊樹,A1,86.66,四日市@08/29-08/31;西武園@09/06-09/08;小松島@09/23-09/25,,15,0,,3.4,
014583,吉田 昌弘,A3,73.00,伊東@09/02-09/04;広島@09/20-09/22,,5,0,,3.4,
014584,井上 嵩,A2,77.50,玉野@09/02-09/04;前橋@09/11-09/13,,12,0,,5.4,
014586,近藤 寛央,A2,86.13,立川@09/03-09/05;富山@09/10-09/12;武雄@09/27-09/29,,15,0,,3.8,
014587,鈴木 謙二,A1,83.83,立川@09/03-09/05;佐世保@09/12-09/14;いわき平@09/27-09/29,岐阜,12,0,,5.2,
014589,西巻 秀太,A3,69.66,松戸@09/01-09/03;大垣@09/13-09/15,青森,6,0,,4.8,
014590,近藤 夏樹,A1,90.66,川崎@08/30-09/01;豊橋@09/11-09/13;伊東@09/23-09/25,,15,0,,3.4,
014591,本多 哲也,A1,89.66,川崎@08/30-09/01;弥彦@09/07-09/09;岸和田@09/14-09/16;青森@09/26-09/28,,9,0,,,
014594,太田 剛司,A1,92.00,松阪@08/31-09/02;静岡@09/18-09/20;玉野@09/27-09/29,和歌,6,0,,2.8,
014595,瀧本 匡平,A3,68.64,久留米@09/05-09/07;豊橋@09/11-09/13;松山@09/19-09/21,松阪,14,0,,3.8,
014596,中村 賢二,A2,80.26,和歌山@08/30-09/01;弥彦@09/19-09/21;玉野@09/27-09/29,岐阜,15,0,,4.8,
014597,上田 隼,A2,84.44,四日市@08/29-08/31;久留米@09/05-09/07;高知@09/20-09/22;広島@09/28-09/30,,9,0,,4.0,
014598,岡崎 祥伍,A2,80.66,富山@09/03-09/05;岸和田@09/26-09/28,,15,0,,3.8,
014600,山田 祥明,A1,82.66,高知@09/09-09/11;松山@09/19-09/21,松阪,9,1,,4.2,
014601,小竹 洋平,A1,85.00,久留米@09/05-09/07;佐世保@09/20-09/22,高知,9,0,,4.2,
014603,佐野 洋継,A2,80.07,岐阜@08/30-09/01;前橋@09/11-09/13;高知@09/20-09/22,和歌,13,0,🥺,5.6,
014610,山村 慮太,A3,76.00,弥彦@09/02-09/04;武雄@09/09-09/11;大宮@09/21-09/23,,18,0,,2.6,
014612,工藤 文彦,A1,90.33,玉野@09/02-09/04;久留米@09/17-09/19;武雄@09/27-09/29,高知,9,0,,2.8,
014614,高橋 清太郎,A1,85.40,玉野@09/08-09/10;青森@09/21-09/23,,15,0,,2.8,
014615,藤原 亮太,A2,78.66,松山@08/31-09/02;いわき平@09/15-09/17,,15,0,,4.6,
014619,木村 浩宣,A1,89.27,武雄@09/03-09/05;岐阜@09/13-09/15,松阪,8,0,,2.8,
014620,二條 祐也,A1,86.00,小松島@08/27-08/29;静岡@09/18-09/20;防府@09/29-10/01,,15,0,,4.0,
014623,飯田 裕次,A1,88.50,久留米@09/05-09/07;大宮@09/13-09/15;立川@09/22-09/24,,12,0,,4.6,
014625,藤野 貴章,A2,82.16,小松島@08/27-08/29;武雄@09/03-09/05;いわき平@09/15-09/17,,6,0,,5.0,
014630,利根 正明,A1,88.00,小松島@08/27-08/29;久留米@09/05-09/07;青森@09/14-09/16,,15,0,,3.6,
014634,寺崎 祐樹,A1,85.55,宇都宮@08/31-09/02;久留米@09/17-09/19,,15,0,,4.2,
014637,吉成 貴博,A2,82.27,佐世保@09/20-09/22;平塚@09/28-09/30,,18,0,,4.0,
014638,川又 裕樹,A2,84.66,いわき平@09/15-09/17;別府@09/24-09/26,,18,0,,3.6,
014643,菅原 洋輔,A3,70.58,西武園@08/31-09/02;豊橋@09/11-09/13,青森,12,0,,4.8,
014644,高橋 明久,A3,71.00,四日市@08/29-08/31;松山@09/12-09/14;大宮@09/21-09/23,,12,0,,4.2,
014646,三浦 雄大,A1,94.77,西武園@09/06-09/08;岐阜@09/13-09/15;立川@09/22-09/24,防府,9,0,,3.0,
014650,佐藤 裕輝,A3,66.00,松阪@09/05-09/07;大宮@09/21-09/23,宇都,6,0,,5.0,
014651,須永 勝太,A2,83.66,松阪@08/31-09/02;佐世保@09/12-09/14;青森@09/26-09/28,,15,0,,5.0,
014652,原 清孝,A3,68.73,久留米@09/05-09/07;小松島@09/17-09/19;別府@09/24-09/26,,15,0,,4.2,
014654,舘 真成,A2,87.66,松山@08/31-09/02;弥彦@09/07-09/09;いわき平@09/15-09/17,和歌,9,0,,4.2,
014657,野中 祐志,A1,92.88,四日市@08/29-08/31;前橋@09/11-09/13;武雄@09/27-09/29,,9,0,,2.8,
014658,馬場 和広,A1,91.83,武雄@09/03-09/05;川崎@09/17-09/19;いわき平@09/27-09/29,高知,12,0,,4.8,
014662,櫻井 宏樹,A3,68.25,松戸@09/01-09/03;富山@09/10-09/12;大宮@09/21-09/23,和歌,12,0,,4.8,
014665,小峰 烈,A1,82.86,西武園@08/31-09/02;富山@09/10-09/12,,15,0,,4.8,
014666,等々力 久就,A3,71.66,静岡@08/30-09/01;いわき平@09/15-09/17;川崎@09/24-09/26,,12,0,,4.0,
014667,藤本 龍也,A3,68.11,岸和田@09/14-09/16;弥彦@09/24-09/26,熊本,9,0,,3.6,
014669,植木 和広,A1,86.83,いわき平@09/07-09/09;小松島@09/23-09/25,,18,0,,3.0,
014671,山田 裕哉,A2,86.83,大垣@09/07-09/09;別府@09/24-09/26,和歌,12,0,,3.2,
014672,吉田 茂生,A1,93.66,奈良@08/26-08/28;武雄@09/03-09/05;前橋@09/11-09/13,,3,0,,2.8,
014673,松田 大,A1,86.26,西武園@08/31-09/02;別府@09/24-09/26,和歌,15,0,,3.8,
014674,丹波 孝佑,A1,86.13,四日市@09/09-09/11;別府@09/16-09/18;伊東@09/23-09/25,,15,0,,3.8,
014676,柳原 司,A2,86.60,四日市@08/29-08/31;いわき平@09/07-09/09;久留米@09/17-09/19,,15,0,,3.4,
014678,樋口 有樹郎,A3,70.05,四日市@08/29-08/31;大垣@09/13-09/15;別府@09/24-09/26,,17,0,,4.2,
014679,小玉 拓真,A1,96.66,玉野@08/26-08/28;いわき平@09/15-09/17;武雄@09/27-09/29,,12,0,🚀,2.0,
014684,松本 卓也,A1,87.93,立川@09/03-09/05;松山@09/19-09/21;岸和田@09/26-09/28,,15,0,,4.2,
014686,秋永 昂人,A3,71.16,伊東@09/02-09/04;松山@09/12-09/14;別府@09/24-09/26,松阪,12,0,,4.0,
014687,井上 将志,A2,81.75,豊橋@09/04-09/06;松山@09/19-09/21,高知,9,0,,4.8,
014688,西田 大志,A1,88.53,弥彦@09/19-09/21;玉野@09/27-09/29,,15,0,,3.8,
014690,好永 晃,A1,86.50,久留米@09/05-09/07;玉野@09/27-09/29,高知,12,0,,4.2,
014693,高田 大輔,A3,68.36,伊東@09/02-09/04;松山@09/12-09/14;川崎@09/24-09/26,熊本,11,0,,4.6,
014694,前島 恭平,A3,65.92,弥彦@09/02-09/04;武雄@09/16-09/18,和歌,13,0,,4.8,
014695,山口 茂,A2,79.00,前橋@09/11-09/13;熊本@09/24-09/26,,15,0,,4.6,
014697,相川 巧,A3,67.92,伊東@09/02-09/04;岸和田@09/14-09/16;奈良@09/24-09/26,青森,14,0,,4.4,
014699,小川 大地,A3,76.33,伊東@09/02-09/04;富山@09/10-09/12;別府@09/24-09/26,,15,0,,2.2,
014703,一ノ瀬 貴将,A2,78.53,岐阜@09/13-09/15;佐世保@09/20-09/22,,15,0,🥺,5.8,
014704,阿部 充宏,A2,83.66,京王閣@09/08-09/10;弥彦@09/19-09/21;防府@09/29-10/01,防府,12,0,,4.2,
014705,沢田 勇治,A3,72.76,静岡@08/30-09/01;京王閣@09/08-09/10;武雄@09/16-09/18,,17,0,,4.0,
014707,飯塚 直人,A2,81.92,防府@09/04-09/06;青森@09/14-09/16,,14,0,,4.4,
014709,松岡 孝高,A1,85.75,小松島@08/27-08/29;玉野@09/08-09/10;防府@09/29-10/01,,12,0,,3.2,
014711,相澤 政宏,A1,89.00,松阪@09/05-09/07;佐世保@09/12-09/14;いわき平@09/27-09/29,高知,9,0,,4.8,
014713,鈴木 裕斗,A2,77.66,いわき平@09/07-09/09;青森@09/14-09/16,,15,0,🥺,6.6,
014714,橋本 智昭,A1,95.00,西武園@09/06-09/08;いわき平@09/15-09/17,和歌,9,0,🚀,2.0,
014715,高橋 幸司,A1,86.83,久留米@09/05-09/07;別府@09/16-09/18,高知,12,0,,2.6,
014716,猪狩 祐樹,A1,91.44,西武園@08/31-09/02;佐世保@09/12-09/14,岐阜,9,0,,3.8,
014717,泉 文人,A2,87.90,奈良@08/26-08/28;伊東@09/07-09/09;岸和田@09/14-09/16,,10,0,,3.2,
014719,佐川 拓也,A3,70.22,静岡@08/30-09/01;京王閣@09/08-09/10;川崎@09/17-09/19,,9,0,,4.6,
014728,三好 恵一郎,A1,93.75,岐阜@08/30-09/01;富山@09/10-09/12;川崎@09/17-09/19,,12,0,🚀,1.8,
014731,山崎 輝夫,A1,87.44,西武園@08/31-09/02;立川@09/16-09/18,岐阜,9,0,,4.2,
014732,和田 禎嗣,A2,79.33,玉野@08/26-08/28;豊橋@09/04-09/06;青森@09/14-09/16,,9,0,,4.8,
014734,長沼 謙太,A1,83.00,豊橋@09/11-09/13;青森@09/26-09/28,,12,0,,4.0,
014735,今村 俊雄,A3,74.00,伊東@08/27-08/29;武雄@09/09-09/11;広島@09/20-09/22,,9,0,,3.6,
014737,河上 陽一,A2,82.75,岸和田@08/27-08/29;富山@09/03-09/05;前橋@09/11-09/13;伊東@09/23-09/25,,12,0,,4.8,
014738,櫻川 雅彦,,,,,4,0,,4.8,
014739,里見 恒平,A3,78.33,広島@09/20-09/22,,6,0,,,
014740,須藤 悟,A1,92.83,和歌山@08/30-09/01;西武園@09/06-09/08;岐阜@09/13-09/15;青森@09/21-09/23,,12,0,,3.0,
014742,河野 淳吾,A2,79.00,伊東@09/07-09/09;立川@09/16-09/18;平塚@09/28-09/30,高知,4,0,,5.0,
014743,鈴木 広人,A3,72.66,伊東@09/02-09/04;武雄@09/16-09/18,青森,18,0,,3.4,
014747,猪俣 康一,A1,82.33,豊橋@09/11-09/13;防府@09/29-10/01,松阪,12,0,,4.4,
014748,山口 智弘,A1,89.33,岐阜@08/30-09/01;富山@09/10-09/12;武雄@09/27-09/29,,12,0,,3.0,
014749,山田 哲也,A2,83.64,奈良@08/26-08/28;いわき平@09/07-09/09;高知@09/20-09/22,,12,0,,4.0,
014753,山田 純也,A2,79.50,和歌山@08/30-09/01;西武園@09/06-09/08;松山@09/19-09/21,,12,0,,3.8,
014755,奥出 健士郎,A2,76.83,四日市@08/29-08/31;松阪@09/05-09/07;玉野@09/27-09/29,,12,0,🥺,6.4,
014758,中野 智公,A2,82.50,宇都宮@08/31-09/02;佐世保@09/12-09/14;防府@09/29-10/01,,12,0,,3.2,
014765,樫村 伸平,A3,70.90,松戸@09/01-09/03;大垣@09/13-09/15,,10,0,,3.8,
014772,細田 純平,A3,70.41,伊東@08/27-08/29;川崎@09/10-09/12;広島@09/20-09/22,,17,0,,4.2,
014774,阿部 弘,A3,71.58,伊東@09/02-09/04;武雄@09/16-09/18;弥彦@09/24-09/26,松阪,12,0,,3.8,
014775,小原 周祐,A1,92.66,奈良@08/26-08/28;久留米@09/17-09/19;熊本@09/24-09/26,,9,0,,3.6,
014776,川上 修平,A3,75.16,武雄@09/09-09/11;松山@09/19-09/21;平塚@09/28-09/30,熊本,12,0,,3.0,
